PMF_ID;PMF_PMF_ID_ParentProjectModuleFolder;PMF_Name;PMF_Description;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE
63;2;3.8 Transportanordningar;NULL;SAMRUMUser;2017-04-15 22:45:17.940;SAMRUMUser;2017-04-15 22:45:17.940
64;3;4.8 Transportanordningar;NULL;SAMRUMUser;2017-04-15 22:47:43.273;SAMRUMUser;2017-04-15 22:47:43.273
65;3;4.7 Sprinkler;NULL;SAMRUMUser;2017-04-15 22:48:57.520;SAMRUMUser;2017-04-15 22:48:57.520
66;33;3.61 Styr;NULL;SAMRUMUser;2017-04-15 22:56:42.773;SAMRUMUser;2017-04-15 22:56:42.773
67;33;3.62 Rör;NULL;SAMRUMUser;2017-04-15 22:57:16.153;SAMRUMUser;2017-04-15 22:57:16.153
68;33;3.63 Kylmaskiner;NULL;SAMRUMUser;2017-04-15 22:58:45.320;SAMRUMUser;2017-04-15 22:58:45.320
69;33;3.64 Ventilation;NULL;SAMRUMUser;2017-04-15 22:59:33.963;SAMRUMUser;2017-04-15 22:59:33.963
70;33;3.65 Energideklaration, projekterade värden;NULL;SAMRUMUser;2017-04-15 23:00:30.883;SAMRUMUser;2017-04-16 09:05:11.727
71;33;3.66 Klimatberäkning;NULL;SAMRUMUser;2017-04-15 23:01:10.290;SAMRUMUser;2017-04-15 23:01:10.290
72;59;4.61 Styr leveransdata;NULL;SAMRUMUser;2017-04-16 09:02:25.960;SAMRUMUser;2017-04-16 09:02:25.960
73;59;4.62 Rör leveransdata;NULL;SAMRUMUser;2017-04-16 09:02:50.887;SAMRUMUser;2017-04-16 09:02:50.887
74;59;4.63 Kylmaskiner leveransdata;NULL;SAMRUMUser;2017-04-16 09:03:18.513;SAMRUMUser;2017-04-16 09:03:18.513
75;59;4.64 Ventilation leveransdata;NULL;SAMRUMUser;2017-04-16 09:04:11.100;SAMRUMUser;2017-04-16 09:04:11.100
76;59;4.65 Energideklaration, uppmätta värden;NULL;SAMRUMUser;2017-04-16 09:04:48.253;SAMRUMUser;2017-04-16 09:04:48.253
77;3;Inredning leveransdata;NULL;SAMRUMUser;2017-04-16 09:10:02.383;SAMRUMUser;2017-04-16 09:10:02.383
78;125;Coclass;NULL;SAMRUMUser;2018-12-13 21:58:31.847;SAMRUMUser;2022-03-26 09:26:15.270
80;78;Funktionella system;NULL;SAMRUMUser;2020-05-29 16:41:02.317;SAMRUMUser;2020-05-29 16:41:02.317
81;78;Konstruktiva system;NULL;SAMRUMUser;2020-05-29 16:41:39.807;SAMRUMUser;2020-05-29 16:41:39.807
82;78;Komponenter;NULL;SAMRUMUser;2020-05-29 16:41:59.547;SAMRUMUser;2020-05-29 16:41:59.547
83;78;Egenskaper;NULL;SAMRUMUser;2020-05-29 16:42:16.867;SAMRUMUser;2020-05-29 16:42:16.867
84;78;Byggnadsvrek;NULL;SAMRUMUser;2020-05-29 16:42:29.167;SAMRUMUser;2020-05-29 16:42:29.167
85;78;Utrymmen;NULL;SAMRUMUser;2020-05-29 16:42:52.673;SAMRUMUser;2020-05-29 16:42:52.673
86;80;FS-A Mark- och grundsystem;NULL;SAMRUMUser;2020-05-29 16:46:45.317;SAMRUMUser;2020-05-29 16:46:45.317
87;80;FS-B Väggsystem;NULL;SAMRUMUser;2020-05-29 16:48:29.977;SAMRUMUser;2020-05-29 16:48:29.977
88;80;FS-C Bjälklagssystem;NULL;SAMRUMUser;2020-05-29 16:49:02.923;SAMRUMUser;2020-05-29 16:49:02.923
89;80;FS-F Vatten- och vätskesystem;NULL;SAMRUMUser;2020-05-29 21:33:43.890;SAMRUMUser;2020-05-29 21:33:43.890
91;NULL;Miljöbyggnad;NULL;SAMRUMUser;2020-11-03 17:29:59.937;SAMRUMUser;2020-11-03 17:29:59.937
92;NULL;BRF;NULL;SAMRUMUser;2021-03-19 19:12:23.670;SAMRUMUser;2021-03-19 19:12:23.670
93;NULL;" Process 81346";NULL;SAMRUMUser;2021-10-12 20:47:43.470;SAMRUMUser;2022-03-26 10:19:48.427
105;93;01 Programskedet;NULL;SAMRUMUser;2021-11-20 07:43:50.493;SAMRUMUser;2021-11-20 11:29:19.030
106;105;Kravställning system;NULL;SAMRUMUser;2021-11-20 07:44:14.773;SAMRUMUser;2021-11-20 07:45:45.523
107;93;02 Systemhandlingsskedet;NULL;SAMRUMUser;2021-11-20 07:54:27.543;SAMRUMUser;2021-11-20 08:41:24.983
108;93;03 Projekteringsskedet;NULL;SAMRUMUser;2021-11-20 07:56:03.977;SAMRUMUser;2021-11-20 07:56:13.183
109;93;05 Förvaltningsskedet;NULL;SAMRUMUser;2021-11-20 07:56:35.773;SAMRUMUser;2021-11-20 08:44:47.640
110;107;Systemredovisning;NULL;SAMRUMUser;2021-11-20 07:58:56.257;SAMRUMUser;2021-11-20 07:58:56.257
112;93;04 Produktionsskedet;NULL;SAMRUMUser;2021-11-20 08:32:03.277;SAMRUMUser;2021-11-20 08:32:03.277
