OTRD_ID;OTRD_OTR_ID_ObjectTypeRelatinship;OTRD_OTR_ID_ConditionalObjectTypeRelationship;OTRD_RDT_ID_RelationshipDependencyType;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp
1047;1191;1194;1;SAMRUMUser;2009-02-28 20:45:31.303;SAMRUMUser;2009-02-28 20:45:31.303;0x00000000000299CF
1048;1144;1147;1;SAMRUMUser;2009-03-01 11:13:37.410;SAMRUMUser;2009-03-01 11:13:37.410;0x00000000000299D0
1049;1144;1148;1;SAMRUMUser;2009-03-01 11:16:01.823;SAMRUMUser;2009-03-01 11:16:01.823;0x00000000000299D1
1050;1144;1150;1;SAMRUMUser;2009-03-01 11:19:48.727;SAMRUMUser;2009-03-01 11:19:48.727;0x00000000000299D2
1051;1144;1063;1;SAMRUMUser;2009-03-01 11:21:16.037;SAMRUMUser;2009-03-01 11:21:16.037;0x00000000000299D3
1053;1144;1149;1;SAMRUMUser;2009-03-07 19:56:09.073;SAMRUMUser;2009-03-07 19:56:09.073;0x00000000000299E7
1054;1144;1115;1;SAMRUMUser;2009-03-07 19:58:43.267;SAMRUMUser;2009-03-07 19:58:43.267;0x00000000000299E8
1055;1144;1116;1;SAMRUMUser;2009-03-07 20:03:21.093;SAMRUMUser;2009-03-07 20:03:21.093;0x00000000000299E9
1056;1144;1117;1;SAMRUMUser;2009-03-07 20:04:10.230;SAMRUMUser;2009-03-07 20:04:10.230;0x00000000000299EA
1057;1144;1118;1;SAMRUMUser;2009-03-07 20:04:59.710;SAMRUMUser;2009-03-07 20:04:59.710;0x00000000000299EB
1058;1144;1120;1;SAMRUMUser;2009-03-07 20:06:07.410;SAMRUMUser;2009-03-07 20:06:07.410;0x00000000000299EC
1060;1144;1177;1;SAMRUMUser;2009-03-07 20:07:39.650;SAMRUMUser;2009-03-07 20:07:39.650;0x00000000000299F1
1061;1144;1119;1;SAMRUMUser;2009-03-07 20:12:36.117;SAMRUMUser;2009-03-07 20:12:36.117;0x00000000000299F3
1062;1144;1121;1;SAMRUMUser;2009-03-07 20:13:52.320;SAMRUMUser;2009-03-07 20:13:52.320;0x00000000000299F4
1063;1144;1122;1;SAMRUMUser;2009-03-07 20:14:31.250;SAMRUMUser;2009-03-07 20:14:31.250;0x00000000000299F5
1065;1144;1123;1;SAMRUMUser;2009-03-07 20:16:29.430;SAMRUMUser;2009-03-07 20:16:29.430;0x00000000000299F8
1066;1144;1124;1;SAMRUMUser;2009-03-07 20:19:12.723;SAMRUMUser;2009-03-07 20:19:12.723;0x00000000000299F9
1067;1144;1125;1;SAMRUMUser;2009-03-07 20:20:22.300;SAMRUMUser;2009-03-07 20:20:22.300;0x00000000000299FA
1068;1144;1130;1;SAMRUMUser;2009-03-07 20:23:03.283;SAMRUMUser;2009-03-07 20:23:03.283;0x00000000000299FB
1069;1144;1131;1;SAMRUMUser;2009-03-07 20:24:52.600;SAMRUMUser;2009-03-07 20:24:52.600;0x00000000000299FC
1070;1144;1132;1;SAMRUMUser;2009-03-07 20:26:37.663;SAMRUMUser;2009-03-07 20:26:37.663;0x00000000000299FD
1071;1144;1126;1;SAMRUMUser;2009-03-07 20:27:59.943;SAMRUMUser;2009-03-07 20:27:59.943;0x00000000000299FE
1072;1126;1127;1;SAMRUMUser;2009-03-07 20:30:09.327;SAMRUMUser;2009-03-07 20:30:09.327;0x00000000000299FF
1073;1126;1128;1;SAMRUMUser;2009-03-07 20:32:07.453;SAMRUMUser;2009-03-07 20:32:07.453;0x0000000000029A01
1074;1126;1129;1;SAMRUMUser;2009-03-07 20:33:20.937;SAMRUMUser;2009-03-07 20:33:20.937;0x0000000000029A02
1167;1789;1788;1;SAMRUMUser;2009-04-14 13:14:42.270;SAMRUMUser;2009-04-14 13:14:42.270;0x000000000002AA9E
1176;1831;1826;1;SAMRUMUser;2009-04-27 21:01:16.803;SAMRUMUser;2009-04-27 21:01:16.803;0x000000000002C3AE
