PMO_ID;PMO_Name;PMO_Description;PMO_AllowIncompleteVersions;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp;PMO_PMF_ID_ProjectModuleFolder
91;3.63 Kylmaskiner;NULL;0;SAMRUMUser;2008-05-25 20:20:51.030;SAMRUMUser;2017-04-15 22:58:56.497;0x000000000006ABAC;68
92;1.04 Totalt;En sammanställning av samtliga data i programskedet. Någon inmatning kan ej ske i denna modul.;0;SAMRUMUser;2008-05-26 18:48:09.387;SAMRUMUser;2017-01-23 10:06:18.563;0x0000000000065D4B;55
93;Leveransplanering;NULL;0;SAMRUMUser;2008-07-11 09:48:39.867;SAMRUMUser;2009-09-28 20:45:40.540;0x000000000002FC25;15
94;1.00 Projektdata;Skapar dokumenthuvud vid utskrifter.;0;SAMRUMUser;2008-08-05 15:25:59.360;SAMRUMUser;2017-01-23 10:03:02.267;0x0000000000065D41;55
95;4.81 Hissar, leveransdata;NULL;0;SAMRUMUser;2008-08-05 15:50:54.430;SAMRUMUser;2017-04-15 22:48:22.233;0x000000000006AB94;64
96;3.02 Projektdata projekteringsskedet;NULL;0;SAMRUMUser;2008-08-07 16:43:47.290;SAMRUMUser;2013-09-03 14:09:24.250;0x00000000000489F1;10
97;4.63 Kylmaskiner, leveransdata;NULL;0;SAMRUMUser;2008-08-25 19:17:40.743;SAMRUMUser;2017-04-16 09:05:52.153;0x000000000006ABC0;74
98;3.318 Passagekontr/Säkerhet;NULL;0;SAMRUMUser;2008-09-06 14:51:38.910;SAMRUMUser;2013-09-03 15:35:06.010;0x0000000000048A64;14
99;3.22 Brand- o säkerhetsfunktioner;NULL;0;SAMRUMUser;2008-09-06 14:52:56.463;SAMRUMUser;2022-05-07 15:32:05.317;0x000000000007AC22;11
100;4.641 Ventilation, leveransdata;NULL;0;SAMRUMUser;2008-09-06 15:12:56.130;SAMRUMUser;2017-04-16 09:07:30.300;0x000000000006ABCE;75
101;4.621 Rör leveransdata;NULL;0;SAMRUMUser;2008-09-06 15:13:47.720;SAMRUMUser;2017-04-16 09:05:33.790;0x000000000006ABBC;73
