OTC_ID;OTC_Name;OTC_Description;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp
1087;05. Villa Produktion;NULL;SAMRUMUser;2016-12-05 16:49:46.260;SAMRUMUser;2016-12-05 16:49:46.260;0x0000000000063C53
1088;Verksamhet nyttjare;NULL;SAMRUMUser;2017-01-23 10:55:12.787;SAMRUMUser;2017-01-23 11:19:44.177;0x0000000000065D77
1089;Coclass;NULL;SAMRUMUser;2017-02-13 11:21:00.187;SAMRUMUser;2017-02-13 11:21:00.187;0x000000000006783A
1090;Projektuppgifter;NULL;SAMRUMUser;2017-02-23 12:07:21.463;SAMRUMUser;2017-02-23 12:07:21.463;0x0000000000067BCA
1091;Rörbeteckningar;NULL;SAMRUMUser;2017-09-04 10:13:55.610;SAMRUMUser;2017-09-04 10:13:55.610;0x000000000006C0DB
1092;Kanalbeteckningar;NULL;SAMRUMUser;2017-09-04 10:14:15.120;SAMRUMUser;2017-09-04 10:14:15.120;0x000000000006C0DC
1093;Krav luftbehandling;NULL;SAMRUMUser;2017-12-26 11:56:34.020;SAMRUMUser;2017-12-26 11:56:34.020;0x000000000006CBE2
1094;Krav hissar;NULL;SAMRUMUser;2017-12-26 12:13:29.787;SAMRUMUser;2017-12-26 12:13:29.787;0x000000000006CBEA
1095;Luftbehandlingssystem;NULL;SAMRUMUser;2018-01-02 17:47:42.697;SAMRUMUser;2018-01-02 17:47:42.697;0x000000000006CE15
1096;F Vatten- och vätskesystem;NULL;SAMRUMUser;2020-05-30 12:11:50.213;SAMRUMUser;2020-05-30 12:11:50.213;0x0000000000072470
1097;Systemkrav styr;NULL;SAMRUMUser;2020-10-15 20:44:03.667;SAMRUMUser;2020-10-15 20:44:03.667;0x00000000000724EA
1098;Rörsystem;NULL;SAMRUMUser;2021-04-20 11:31:46.257;SAMRUMUser;2021-04-20 11:31:46.257;0x00000000000747D6
1099;Erfarenhetsåterföring;NULL;SAMRUMUser;2022-01-11 10:33:47.297;SAMRUMUser;2022-01-11 10:33:47.297;0x000000000007700B
1100;AMA Bygg;NULL;SAMRUMUser;2022-04-04 10:30:25.167;SAMRUMUser;2022-04-04 10:30:25.167;0x0000000000079DA4
1101;Coclass byggnadsverk;NULL;SAMRUMUser;2022-11-21 18:10:57.967;SAMRUMUser;2022-11-21 18:10:57.967;0x0000000000081322
1102;Coclass byggnadsverkskomplex;NULL;SAMRUMUser;2022-11-21 18:11:20.853;SAMRUMUser;2022-11-21 18:11:20.853;0x0000000000081323
1103;Hyresgäster;NULL;SAMRUMUser;2022-11-21 19:20:02.170;SAMRUMUser;2022-11-21 19:20:02.170;0x000000000008134E
1104;Gaskomponenter;NULL;SAMRUMUser;2023-03-01 08:58:46.470;SAMRUMUser;2023-03-01 08:58:46.470;0x000000000008387D
1105;Gas Funktionella system;NULL;SAMRUMUser;2023-03-01 09:21:51.713;SAMRUMUser;2023-03-01 09:31:18.500;0x00000000000838BD
1106;Gas rörsystem, konstruktiva system;NULL;SAMRUMUser;2023-03-01 09:26:36.333;SAMRUMUser;2023-03-01 09:26:36.333;0x00000000000838AF
