OTRM_ID;OTRM_OTR_ID_ObjectTypeRelationship;OTRM_PMO_ID_Module;OTRM_ReadOnly;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp
2927;239;32;0;SAMRUMDev;2007-11-09 10:34:11.530;SAMRUMDev;2007-11-09 10:34:11.530;0x000000000001161C
2928;240;32;0;SAMRUMDev;2007-11-09 10:34:36.000;SAMRUMDev;2007-11-09 10:34:36.000;0x000000000001161E
2929;241;32;0;SAMRUMDev;2007-11-09 10:35:08.873;SAMRUMDev;2007-11-09 10:35:08.873;0x0000000000011620
2933;499;32;0;SAMRUMDev;2007-11-09 10:36:22.000;SAMRUMDev;2007-11-09 10:36:22.000;0x0000000000011626
2934;499;64;1;SAMRUMDev;2007-11-09 10:36:22.000;SAMRUMDev;2007-11-09 10:36:22.000;0x0000000000011627
2935;244;32;0;SAMRUMDev;2007-11-09 10:36:52.780;SAMRUMDev;2007-11-09 10:36:52.780;0x0000000000011629
2936;245;32;0;SAMRUMDev;2007-11-09 10:37:13.700;SAMRUMDev;2007-11-09 10:37:13.700;0x000000000001162B
2937;246;32;0;SAMRUMDev;2007-11-09 10:37:36.450;SAMRUMDev;2007-11-09 10:37:36.450;0x000000000001162D
3103;1152;32;0;SAMRUMDev;2007-12-01 12:17:40.220;SAMRUMDev;2007-12-01 12:17:40.220;0x0000000000012AD1
3104;1153;32;0;SAMRUMDev;2007-12-01 12:18:26.767;SAMRUMDev;2007-12-01 12:18:26.767;0x0000000000012AD5
3107;1156;32;0;SAMRUMDev;2007-12-01 12:22:36.487;SAMRUMDev;2007-12-01 12:22:36.487;0x0000000000012AE9
3108;1157;32;0;SAMRUMDev;2007-12-01 12:24:00.220;SAMRUMDev;2007-12-01 12:24:00.220;0x0000000000012AED
3109;1158;32;0;SAMRUMDev;2007-12-01 12:25:21.533;SAMRUMDev;2007-12-01 12:25:21.533;0x0000000000012AF1
3112;1161;32;0;SAMRUMDev;2007-12-01 12:34:45.110;SAMRUMDev;2007-12-01 12:34:45.110;0x0000000000012AFD
3119;1167;32;0;SAMRUMDev;2007-12-01 12:58:38.440;SAMRUMDev;2007-12-01 12:58:38.440;0x0000000000012B1A
3120;1168;32;0;SAMRUMDev;2007-12-01 12:59:38.830;SAMRUMDev;2007-12-01 12:59:38.830;0x0000000000012B1E
3122;1170;32;0;SAMRUMDev;2007-12-01 13:01:59.500;SAMRUMDev;2007-12-01 13:01:59.500;0x0000000000012B26
3123;1171;32;0;SAMRUMDev;2007-12-01 13:03:10.987;SAMRUMDev;2007-12-01 13:03:10.987;0x0000000000012B2A
3155;1068;32;0;SAMRUMDev;2007-12-01 17:31:40.830;SAMRUMDev;2007-12-01 17:31:40.830;0x0000000000012C2E
3156;1067;32;0;SAMRUMDev;2007-12-01 17:33:03.110;SAMRUMDev;2007-12-01 17:33:03.110;0x0000000000012C31
3157;1069;32;0;SAMRUMDev;2007-12-01 17:33:46.237;SAMRUMDev;2007-12-01 17:33:46.237;0x0000000000012C34
3158;1109;32;0;SAMRUMDev;2007-12-01 17:39:54.627;SAMRUMDev;2007-12-01 17:39:54.627;0x0000000000012C5C
3159;1110;32;0;SAMRUMDev;2007-12-01 17:40:24.830;SAMRUMDev;2007-12-01 17:40:24.830;0x0000000000012C5F
3160;1111;32;0;SAMRUMDev;2007-12-01 17:40:54.533;SAMRUMDev;2007-12-01 17:40:54.533;0x0000000000012C62
3161;1051;32;0;SAMRUMDev;2007-12-01 17:41:57.627;SAMRUMDev;2007-12-01 17:41:57.627;0x0000000000012C65
3162;1052;32;0;SAMRUMDev;2007-12-01 17:42:46.360;SAMRUMDev;2007-12-01 17:42:46.360;0x0000000000012C68
3163;1053;32;0;SAMRUMDev;2007-12-01 17:43:21.610;SAMRUMDev;2007-12-01 17:43:21.610;0x0000000000012C6B
3164;1091;32;0;SAMRUMDev;2007-12-01 17:44:14.220;SAMRUMDev;2007-12-01 17:44:14.220;0x0000000000012C6E
3165;1092;32;0;SAMRUMDev;2007-12-01 17:44:40.737;SAMRUMDev;2007-12-01 17:44:40.737;0x0000000000012C71
3167;1093;32;0;SAMRUMDev;2007-12-01 17:47:32.457;SAMRUMDev;2007-12-01 17:47:32.457;0x0000000000012C75
3168;1112;32;0;SAMRUMDev;2007-12-01 17:48:20.220;SAMRUMDev;2007-12-01 17:48:20.220;0x0000000000012C78
3169;1113;32;0;SAMRUMDev;2007-12-01 17:48:46.300;SAMRUMDev;2007-12-01 17:48:46.300;0x0000000000012C7B
3170;1114;32;0;SAMRUMDev;2007-12-01 17:49:13.050;SAMRUMDev;2007-12-01 17:49:13.050;0x0000000000012C7E
3171;1076;32;0;SAMRUMDev;2007-12-01 17:50:01.690;SAMRUMDev;2007-12-01 17:50:01.690;0x0000000000012C81
3172;1077;32;0;SAMRUMDev;2007-12-01 17:50:29.160;SAMRUMDev;2007-12-01 17:50:29.160;0x0000000000012C84
3173;1078;32;0;SAMRUMDev;2007-12-01 17:50:54.550;SAMRUMDev;2007-12-01 17:50:54.550;0x0000000000012C87
3174;1088;32;0;SAMRUMDev;2007-12-01 17:51:48.567;SAMRUMDev;2007-12-01 17:51:48.567;0x0000000000012C8A
3175;1089;32;0;SAMRUMDev;2007-12-01 17:52:14.643;SAMRUMDev;2007-12-01 17:52:14.643;0x0000000000012C8D
3176;1090;32;0;SAMRUMDev;2007-12-01 17:52:44.207;SAMRUMDev;2007-12-01 17:52:44.207;0x0000000000012C90
3177;1073;32;0;SAMRUMDev;2007-12-01 17:53:38.817;SAMRUMDev;2007-12-01 17:53:38.817;0x0000000000012C93
3178;1074;32;0;SAMRUMDev;2007-12-01 17:54:05.957;SAMRUMDev;2007-12-01 17:54:05.957;0x0000000000012C96
